Iterator Time:10
No.423   Length:1.10682   Redius:2.21363   LeafAmount:0   
No.424   Length:0.891199   Redius:1.7824   LeafAmount:2   
No.425   Length:1.13476   Redius:2.26952   LeafAmount:0   
No.426   Length:0.954949   Redius:1.9099   LeafAmount:2   
No.427   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.428   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.429   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.430   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.431   Rule:B(l*0.6,w*0.85,y*0.6)
No.432   Length:1.10682   Redius:2.21363   LeafAmount:0   
No.433   Length:0.891199   Redius:1.7824   LeafAmount:2   
No.434   Length:1.13476   Redius:2.26952   LeafAmount:0   
No.435   Length:0.954949   Redius:1.9099   LeafAmount:2   
No.436   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.437   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.438   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.439   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.440   Rule:B(l*0.6,w*0.85,y*0.6)
No.441   Length:1.10682   Redius:2.21363   LeafAmount:0   
No.442   Length:0.891199   Redius:1.7824   LeafAmount:2   
No.443   Length:1.13476   Redius:2.26952   LeafAmount:0   
No.444   Length:0.954949   Redius:1.9099   LeafAmount:2   
No.445   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.446   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.447   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.448   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.449   Rule:B(l*0.6,w*0.85,y*0.6)
No.450   Length:1.10682   Redius:2.21363   LeafAmount:0   
No.451   Length:0.891199   Redius:1.7824   LeafAmount:2   
